hotel_reference_id,hotel_country,hotel_city,hotel_state_province,hotel_category,hotel_class
-4683853253309092934,THAILAND,HUA HIN / CHA-AM,PRACHUAP KHIRI KHAN,Hotel,4.0
-5319217741520392722,THAILAND,HUA HIN,PRACHUAP KHIRI KHAN,Hotel,5.0
3348969506622126389,THAILAND,HAT YAI,,,
2082650188398816621,THAILAND,BANGKOK,,Hotel,5.0
-3461699995862541622,PHILIPPINES,BORACAY ISLAND,AKLAN,,
3649381126806074468,THAILAND,PHUKET,,Hotel,4.0
4070506175659373369,THAILAND,BANGKOK,,Hotel,3.0
5512508779186223393,THAILAND,NAKHON SI THAMMARAT,,Hotel,3.0
749384490434581339,THAILAND,PHUKET,,Hotel,4.0
-4024671048679394731,THAILAND,BANGKOK,,,
-2592088574957517663,THAILAND,HAT YAI,SONGKHLA,,
-2390331127931414948,THAILAND,CHA-AM,PHETCHABURI,Hotel,2.5
7830483271336908430,THAILAND,PATTAYA,CHONBURI,Hotel,4.0
7938980119547873716,THAILAND,LAMPANG,LAMPANG,Hotel,3.0
203239355324987575,PHILIPPINES,MANILA,NCR,Hotel,3.0
2074220880417899260,PHILIPPINES,BORACAY ISLAND,AKLAN,,
8233464380164919612,PHILIPPINES,MAKATI,MANILA,Hotel,3.0
-5053860968102637684,PHILIPPINES,BORACAY,,,
-7748486322840406102,THAILAND,PATONG,PHUKET,Hotel,2.5
4266338307670984474,THAILAND,CHIANG MAI,,Hotel,3.5
-4339536498040808321,PHILIPPINES,BACOLOD,WESTERN VISAYAS,Hotel,2.0
6420181518957608003,THAILAND,BANGKOK,BANGKOK,Hotel,4.0
-4560822798988910533,PHILIPPINES,BORACAY ISLAND,AKLAN,Hotel,3.5
-9213121850607123932,THAILAND,NAKHON PHANOM,NAKHON PHANOM,Hotel,4.0
-8827327056350065075,PHILIPPINES,CEBU,CEBU,Hotel,3.0
1667652826866171349,PHILIPPINES,DAVAO,DAVAO REGION,Hotel,1.0
-7975586177164533621,PHILIPPINES,CEBU,CEBU,Hotel,3.0
5077413472073021334,PHILIPPINES,TACLOBAN,LEYTE,Hotel,3.0
6838298889811699671,PHILIPPINES,PASAY,MANILA,Hotel,3.0
-7781288524329539712,PHILIPPINES,MANILA,,Hotel,4.0
2337886519196907425,PHILIPPINES,BOHOL,,Hotel,5.0
-6287511918253713729,THAILAND,PATONG,PHUKET,Hotel,2.0
1703528468963061534,THAILAND,BANGKOK,BANGKOK,Hotel,4.0
677245753213214175,THAILAND,CHIANG MAI,,Hotel,5.0
3851645990700897279,THAILAND,BANG LAMUNG,CHONBURI,Hotel,4.0
4344932719296338978,PHILIPPINES,MANILA,,Hotel,2.0
-2482333441157789130,THAILAND,HAT YAI,SONGKHLA,,
3666312628750213121,THAILAND,CHANTHABURI,,Hotel,3.0
-4992718864304677678,THAILAND,BANGKOK,,Hotel,2.0
-1995810818907799850,THAILAND,ROI ET,ROI ET,Hotel,
167757656489483709,THAILAND,BANGKOK,BANGKOK,Hotel,3.5
8227050247342760554,THAILAND,BANGKOK,,Hotel,4.0
912261850474634947,THAILAND,BANGKOK,BANGKOK,Hotel,3.0
-5771971214724269523,THAILAND,PATONG,PHUKET,,
-658256787815589731,THAILAND,SAI YOK,KANCHANABURI,Hotel,3.5
-6972639750856918449,PHILIPPINES,CORON,PALAWAN,Hotel,3.0
2984315742364889405,THAILAND,BANGKOK,BANGKOK,,
3484518595807503270,THAILAND,UBON RATCHATHANI,UBON RATCHATHANI,Hotel,3.0
-314142394397631100,THAILAND,CHUMPHON,,Hotel,3.0
-6403982287534537504,PHILIPPINES,PASAY,METRO MANILA,,
-6537390425286942667,THAILAND,PATTAYA,CHONBURI,Hotel,4.0
-6911205053411329047,THAILAND,CHIANG MAI,CHIANG MAI,Hotel,4.0
7427858260880030076,PHILIPPINES,DAVAO,DAVAO DEL SUR,Hotel,2.5
